wavenumbers,intensities
50595.906000,3.465E-29
50597.109000,8.474E-24
50597.367000,8.053E-24
50598.086000,7.805E-24
50598.938000,3.394E-29
50605.340000,2.803E-24
50607.230000,5.858E-27
50607.383000,3.364E-22
50607.430000,3.725E-22
50607.789000,3.334E-30
50607.898000,3.098E-22
50609.273000,2.829E-24
50609.660000,9.717E-26
50610.668000,9.311E-26
50611.977000,9.101E-26
50612.773000,1.554E-24
50613.910000,3.289E-22
50613.992000,3.030E-22
50614.625000,2.845E-22
50614.902000,2.005E-27
50615.961000,3.202E-30
50616.121000,1.570E-24
50617.062000,3.045E-26
50618.516000,2.919E-26
50620.266000,2.854E-26
50621.875000,4.880E-27
50623.023000,4.678E-27
50624.027000,4.574E-27
50624.859000,1.693E-27
50625.543000,1.662E-25
50625.684000,1.620E-27
50626.164000,1.581E-25
50626.906000,1.532E-25
50626.926000,1.580E-27
50630.363000,3.570E-25
50630.379000,1.424E-25
50630.543000,3.415E-25
50630.797000,1.364E-25
50631.121000,3.333E-25
50631.598000,1.333E-25
50632.098000,2.881E-25
50632.500000,2.726E-25
50633.031000,2.631E-25
50635.914000,4.595E-24
50637.844000,1.436E-26
50637.891000,3.676E-22
50637.969000,4.155E-22
50638.379000,3.315E-22
50639.527000,1.145E-26
50639.820000,4.638E-24
50640.348000,1.096E-26
50641.027000,1.069E-26
50642.168000,2.570E-24
50642.352000,1.109E-23
50642.609000,1.059E-23
50643.402000,1.031E-23
50643.434000,4.037E-22
50643.469000,3.675E-22
50644.059000,3.410E-22
50644.258000,4.515E-27
50645.406000,3.078E-28
50645.559000,2.596E-24
50649.023000,2.956E-28
50650.305000,3.423E-27
50652.258000,2.896E-28
50652.406000,3.280E-27
50654.016000,4.926E-24
50654.504000,4.714E-24
50654.734000,3.207E-27
50655.520000,4.600E-24
50657.418000,2.517E-23
50657.469000,2.372E-23
50657.996000,2.280E-23
50661.277000,7.491E-24
50661.457000,1.540E-23
50661.664000,1.459E-23
50662.340000,1.410E-23
50663.188000,3.596E-22
50663.234000,1.077E-26
50663.238000,3.878E-26
50663.297000,4.201E-22
50663.645000,3.136E-22
50664.668000,1.032E-26
50665.148000,7.563E-24
50666.344000,4.135E-24
50666.359000,1.009E-26
50667.719000,4.094E-22
50667.730000,4.574E-22
50668.273000,3.735E-22
50668.398000,1.047E-26
50669.773000,4.177E-24
50679.812000,8.583E-28
50681.426000,1.258E-23
50682.637000,8.235E-28
50683.270000,3.018E-22
50683.414000,3.752E-22
50683.430000,1.283E-25
50683.719000,2.469E-22
50685.105000,8.058E-28
50685.273000,1.270E-23
50685.309000,6.555E-24
50685.746000,1.163E-29
50686.750000,4.129E-22
50686.793000,4.735E-22
50687.270000,3.670E-22
50687.328000,2.596E-26
50688.770000,6.619E-24
50692.352000,1.116E-29
50693.117000,3.687E-29
50694.902000,3.001E-25
50695.441000,2.845E-25
50696.102000,2.751E-25
50696.355000,2.377E-23
50697.219000,3.542E-29
50697.906000,1.093E-29
50698.145000,1.902E-22
50698.301000,2.777E-22
50698.434000,6.861E-25
50698.621000,1.297E-22
50699.051000,1.048E-23
50699.234000,4.729E-28
50700.223000,2.401E-23
50700.555000,3.668E-22
50700.578000,4.526E-28
50700.633000,4.396E-22
50700.754000,4.877E-25
50700.781000,3.471E-29
50701.039000,7.400E-26
50701.055000,3.117E-22
50701.090000,4.598E-25
50701.574000,4.420E-25
50702.016000,4.419E-28
50702.543000,1.058E-23
50706.051000,7.647E-23
50707.590000,1.783E-23
50707.922000,1.286E-22
50709.145000,2.674E-22
50709.246000,3.520E-22
50709.535000,2.857E-25
50709.668000,2.058E-22
50710.004000,2.599E-23
