wavenumbers,intensities
5.04331102847765E+0004,0.00000000000000E+0000
5.04331102847765E+0004,4.23600162365402E-0003
5.04331102847765E+0004,0.00000000000000E+0000
5.04346425603779E+0004,0.00000000000000E+0000
5.04346425603779E+0004,6.10120290492141E-0006
5.04346425603779E+0004,0.00000000000000E+0000
5.04358683808591E+0004,0.00000000000000E+0000
5.04358683808591E+0004,2.90392240047965E-0007
5.04358683808591E+0004,0.00000000000000E+0000
5.04419974832648E+0004,0.00000000000000E+0000
5.04419974832648E+0004,2.98539263425910E-0006
5.04419974832648E+0004,0.00000000000000E+0000
5.04435297588662E+0004,0.00000000000000E+0000
5.04435297588662E+0004,1.37922568850139E-0003
5.04435297588662E+0004,0.00000000000000E+0000
5.04441426691068E+0004,0.00000000000000E+0000
5.04441426691068E+0004,2.78766338228362E-0003
5.04441426691068E+0004,0.00000000000000E+0000
5.04456749447082E+0004,0.00000000000000E+0000
5.04456749447082E+0004,2.79614378391421E-0006
5.04456749447082E+0004,0.00000000000000E+0000
5.04686590787295E+0004,0.00000000000000E+0000
5.04686590787295E+0004,1.83145733689851E-0008
5.04686590787295E+0004,0.00000000000000E+0000
5.04824495591423E+0004,0.00000000000000E+0000
5.04824495591423E+0004,1.02594101944891E-0005
5.04824495591423E+0004,0.00000000000000E+0000
5.04839818347437E+0004,0.00000000000000E+0000
5.04839818347437E+0004,3.12025078993701E-0003
5.04839818347437E+0004,0.00000000000000E+0000
5.04845947449843E+0004,0.00000000000000E+0000
5.04845947449843E+0004,6.31082065322201E-0003
5.04845947449843E+0004,0.00000000000000E+0000
5.04861270205857E+0004,0.00000000000000E+0000
5.04861270205857E+0004,1.14107686911168E-0005
5.04861270205857E+0004,0.00000000000000E+0000
5.04882722064277E+0004,0.00000000000000E+0000
5.04882722064277E+0004,5.47808294273216E-0007
5.04882722064277E+0004,0.00000000000000E+0000
5.04925625781117E+0004,0.00000000000000E+0000
5.04925625781117E+0004,5.80662101921145E-0006
5.04925625781117E+0004,0.00000000000000E+0000
5.04937883985928E+0004,0.00000000000000E+0000
5.04937883985928E+0004,2.20596761902817E-0003
5.04937883985928E+0004,0.00000000000000E+0000
5.04944013088334E+0004,0.00000000000000E+0000
5.04944013088334E+0004,4.45960763151557E-0003
5.04944013088334E+0004,0.00000000000000E+0000
5.04959335844348E+0004,0.00000000000000E+0000
5.04959335844348E+0004,5.39775154551464E-0006
5.04959335844348E+0004,0.00000000000000E+0000
5.05179983530953E+0004,0.00000000000000E+0000
5.05179983530953E+0004,3.61168300248959E-0008
5.05179983530953E+0004,0.00000000000000E+0000
5.05287242823052E+0004,0.00000000000000E+0000
5.05287242823052E+0004,1.81995934930203E-0005
5.05287242823052E+0004,0.00000000000000E+0000
5.05302565579066E+0004,0.00000000000000E+0000
5.05302565579066E+0004,4.33547567073730E-0003
5.05302565579066E+0004,0.00000000000000E+0000
5.05308694681472E+0004,0.00000000000000E+0000
5.05308694681472E+0004,8.77283191955667E-0003
5.05308694681472E+0004,0.00000000000000E+0000
5.05324017437486E+0004,0.00000000000000E+0000
5.05324017437486E+0004,2.05055411305924E-0005
